Name,The Godfather,Pulp Fiction,Gone With the Wind,12 Angry Men,Lawrence of Arabia,Raging Bull,The Clockwork Orange,Cinema Paradiso,Wild Strawberries,Amadeus
Albert Einstein,9.5,7,10,10,-1,-1,6,10,8,10
The Joker,8,10,4,4,8,-1,10,9.5,7.5,8
Marilyn Monroe,8,-1,10,8.5,-1,8.5,6.5,-1,8,5
Steve Jobs,-1,8.5,8,10,9,7.5,9,8,8.5,9
Mahatma Gandhi,6,-1,-1,9,8,8,5,7,7,7
Pikachu,7,-1,5,-1,-1,9,-1,5,-1,10
Jon Snow,-1,7,10,8,8,8,8,8,8,-1
Walter White,9,10,6,6,7,-1,10,7,10,-1
J K Rowling,9,9,-1,9,8,7,9,10,10,9
Diego Maradona,-1,8,7,6,7,9,6,8,7,-1
Barrack Obama,7,9,10,10,7,9,-1,-1,-1,8
